Event no.,Code,Name,Type,Description,Intelligence,Charisma,Fitness,Energy,Stress,Money,Intelligence Check,Charisma Check,Fitness Check,Energy Check,Stress Check,Money Check,Flavor Text
,are_loststudent,Lost Student,Question,You help a lost student with directions,,,,,,,,,,,,,"""When walking around campus, you spot a confused looking student, probably a freshman, fidgeting between their phone and a flyer map of the campus. You can guess that they’re probably lost. They lock eye contact with you and immediately walk up to you to make conversation. “Hey, do you know which building room number #$@!% is?” Are you able to help this poor freshy brother out?"""
,,"1: Of course, its…",Response,intelligence check pass,0,1,0,0,0,0,>=5,,,,,,"""Using your general amount of knowledge, you are able to guide the young student to where they need to be on time. They give you a rushed thanks before running off. (Your Charisma has increased by 1) """
,,"1: Of course, its…",Response,intelligence check fail,0,0,0,0,0,0,<5,,,,,,“You respond that you genuinely have no idea where that room is and if a room like that even exists. Whatever they said had no numbers or was even in a language trembling English ( or human ). You shrug and they look a little disappointed.”
,,2: I genuinely don't know,Response,no check,0,0,0,0,0,0,,,,,,,“You respond that you genuinely have no idea where that room is and if a room like that even exists. Whatever they said had no numbers or was even in a language trembling English ( or human ). You shrug and they look a little disappointed.”
,,3: Pretend to know where it is. ,Response,no check,0,-1,0,0,0,0,,,,,,,"“You might have some auditory processing issues. Regardless, you feel a bit embarrassed to admit you have no idea what they just said. You give a hastily made and somewhat bullshit response to their simple question. They look at you with a squeamish suspicion, maybe they saw through you. They awkwardly laugh a bit before walking away. Great, now you look like an idiot. (Your Charisma has decreased by 1)” "
,re_bakesale,Bake Sale,Question,You purchase food at a bake sale,,,,,,,,,,,,,"“It's nearing that time of the season again, ski lodge and hot spring season! Of course, there’s no way you could get to know anyone in such a short time space that would be generous to take you with them. Frats and sors have lined up in I.V with rows of tables with all sorts of baked goods, pastries and treats from all over southern california to appeal to all flocks of socal taste. Krispy Kreme, Dunkin’, Winchels, Portos,  some ambitious students even brought coolers full of Dutch Bros, what… that’s… well that's quite the way to go for some frappes. They’ll all smile politely with the occasional “‘sup dude?” casual greeting, so that they can entice you to purchase a treat with the money going to their “charity” providing funds towards their fraternity or sorority coffer. Funds towards what? Why their yearly Big Bear trips of course! Come to think of it… you have been really craving something sweet at the moment. Will you sacrifice your dignity of funding their hedonistic escapades all for the sake of a sweet delicacy you can’t get in I.V? Of course you will, now pick a table!”"
,,1: The girl’s Krispy Kreme table,Response,no check,0,1,0,0,-15,-3,,,,,,,"""Classic Krispy Kreme! Can’t go wrong with the poster child of raw sugar and early 2000s stock market value overestimation yuppism. The skinny, peppy, young girls show you all that they have available, looks colorful and dangerously delicious. You take 1 donut to go. The girls giggle and thank you for your contributions, (sucker). You take a bite… sugary, sweet, you were craving something of this level of fatty carbs. You suddenly feel you’re a bit more with the “in” crowd. (Your Charisma has increased by 1. You lost $3. You lost some stress.)"""
,,2: The guy’s Porto’s table,Response,no check,0,0,1,0,-15,-3,,,,,,,"“Porto’s, eh? Porto’s… wait a minute!? The nearest Porto’s is all the way in Burbank, the OG place! Did they seriously drive all the way down there just to bring back some cheap sweets? Exactly how expensive are these pastries going to be? Is there really that dedicated to a crowd of Angelenos in UCSB who really crave the taste of Porto’s? It’s the first you’ve heard of it.  The guys at the table act chummy enough, clearly trying to encourage you to purchase their hard earned wares. You might as well… You go for something a bit more hardy, a cheese danish. … It's not bad. The gaggle of frat boys thank you for your patronage. You are filled with a strange brotherly vigor. ( Your Fitness has increased by 1. You lost $3. You lost some stress.)”"
,,3: The guys Dutch Bros table(?),Response,no check,1,0,0,0,-15,-3,,,,,,,"“Now here’s something you’ve never seen before, an ice coffee, frappe and slushie booth. Since it’s California, you don’t suppose something like this is too out of place. But wait a minute, Dutch Bros is a norcal/ bay area kind of chain, so what, how, or why the hell are they selling it here? The frat seems to be a collective of “a very certain type” of guys, with a kind of aura of neither being a normie or a cultured individual, but they look a little… behind the times. Oh of course! They’re from Fresno! That’s the only logical conclusion. Well, might as well. This frappe tastes “hella” artificial but there is kind of a charm to enjoying a traditionally normal treat in socal. The exchange of cultures has broadened your understanding of Californian cosmopolitan locals and customs. ( Your Intelligence has increased by 1. You lost 3$. You lost some stress.)”"
,are_giantrat,Giant Rat,Question,Fight a giant rat ,,,,,,,,,,,,,"“One day when passing by the Center for Bioengineering building, you notice a bunch of panicked students running out of the building, screaming in fear and shouting to “call the police!” Oh no! Could it be an armed robbery? A school shooter? A rabid animal on the loose? Before you could further theorize on what is causing the ruckus, the ruckus causer in question breaks out of the glass windows of the building. Well, you were kind of right. It does happen to be a rabbid looking animal on the loose. Except that its a giant fucking mutant rat thing that looks like its half the size of a person. What has science done!? You…”"
,,1: Confront the rat menace head on! ,Response,Athletics check pass,0,3,0,0,-15,0,,,>=10,,,,"“Die monster. You don't belong in this world! This rat creature, although large in size, is still a living being, susceptible to all other causes of death. Such as having the living shit beaten out of it. It's mano a rato time, baby! The rat meets your gaze and identifies you as its next victim and it quickly lunges at you. Its an audacious little bugger but so are you. You also lunge towards the rat in a display of lifting induced rage. The match was already over when the rat thought it could cross your path. In a single right hook, you make a direct hit between the rats eyes, the weight of the impact shattering its skull, killing it instantly. No one will believe you if you tried telling them what you did in school today. But that doesnt matter, even if there was no one to witness it, you can feel the overwhelming radiant confidence one would only get from shattering a giant mutant rat's skull.  ( Your Charisma has increased by 3. You lost some stress. )”"
,,1: Confront the rat menace head on! ,Response,Athletics check fail GAME OVER,0,0,0,0,15,0,,,<10,,,,"“Oh you brave stupid soul. Nobody fights giant rats and lives, especially on the west coast ( east coast is a different story…) Before you could ready your stance and utter a muffled ""put ‘em up"", the rat has already lunged and taken a gnarly gash out of your neck, severing your arteries and spine, killing you instantly. So ends your College Freshman life at University of California Santa Barbara. Not unceremoniously, in fact your demise was used as a catalyst to further investigate “ The Bioengineering department at UCSB is creating mutant cryptid superbeasts” conspiracy theory, sparking even more controversy than ever. So who's gonna tell your parents you were mauled to death by a giant rat? (Game Over)” "
,,2: Run away like the rest of your compatriots and live another day ,Response,no check,0,0,0,0,0,0,,,,,,,"“There is no need to play the hero, especially when there is literally a huge ass rat monster thing on the loose! You perform a “gracious retreat” and hope that someone else will deal with this crime against nature. (You gained some stress)”"
,are_straycat,Stray Cat,Question,Feed a stray cat,,,,,,,,,,,,,"“While walking around in I.V, you notice the local stray cat that wanders between the Isla Vista Community Center and IV Bagel.It’s prowling in the wild grass bushes near the parking lot, looks like it's hunting for food, maybe it’s hungry. You’ve seen this cat before, it’s pretty unmistakable from its white and speckled long haired coat of fur. It looks remarkably fluffy. Dangerously fluffy. Do you feed the cat part of your lunch?” "
,,Y,Response,no check,0,0,0,0,-15,-5,,,,,,,“You give the fluffy cat part of your ham bagel to which its scarfs down in a single bite. It seems to have gained your trust by the way it circles your legs. You decide to pet the cat. Oh! Now that’s fluffy! ( You lost $5. You have lost some stress )” 
,,N,Response,no check,0,0,0,0,0,0,,,,,,,"“It looks like the cat is perfectly capable of finding its own food. Comparatively speaking, the cat seems to be doing fine for itself, as opposed to you, a poor broke starving college student.”"
,are_cult,Cult,Question,You joun a cult,,,,,,,,,,,,,"“While wandering around the STEM side of campus, you start to get an ominous heavy feeling… Could this be the fabled and dreaded “bad vibes” so many of your classmates talk about when they mention the Chemistry and Physical Sciences department? Around the corner, by the Chemistry building, you notice two twin doors have seemingly opened on their own ( or someone pushed the handicap button…), almost as if they’re inviting your presence in. Throwing caution to the wind, mostly out of your own dumb curiosity, you head on in to the building. The hallways of the building are dark, quiet and cold, even though class should still be in session at this time. You are startled by a loud bang behind you, you turn around to see that the double doors have shut. Well, there’s no going back now. You head to the end of the hall and see an open double door to a lecture hall auditorium. Low ominous chanting and bells can be heard beyond the door. You wander your way in only to see, not quite the most bizarre thing you've seen on campus but still pretty stange, what appears to be a demonic cult ritual being performed. There are around 20 or so people in black hooded cloaks, standing in a circle around some kind of magic circled adorned with candles. The projector is also on. The projector is displaying what appears to be a zoom meeting with other cultists members who couldn't make it to the ritual, online education sure is convenient. “Ph’nglui, ph’nglui…” The hooded figure in the center, which appears to be the leader, greets you… There appears to be a person lying on the ground in the middle of the circle with a knife through their chest. They may or may not be dead, nothing wrong in keeping a healthy positivity. Will you join in on their dubious ritual?” "
